lag,logtau,logamp,rel_amp,mean,rel_mean
156.43550995227685,5.9871718964100005,0.0,1.0,0.0,0.0
154.942603893347,5.709363332892012,0.0,1.0,0.0,0.0
156.1949461861834,6.041679611479863,0.0,1.0,0.0,0.0
154.6265589929338,5.717909704667621,0.0,1.0,0.0,0.0
158.04442910828868,5.856640186228175,0.0,1.0,0.0,0.0
160.6989428498088,5.873660236230473,0.0,1.0,0.0,0.0
156.21713584089025,5.385502869171455,0.0,1.0,0.0,0.0
155.0780336318112,5.393659093319504,0.0,1.0,0.0,0.0
160.54224561122334,5.80065166340998,0.0,1.0,0.0,0.0
156.87274180038492,5.796847234842963,0.0,1.0,0.0,0.0
161.99769312697237,5.866828288445053,0.0,1.0,0.0,0.0
161.91585414567908,5.656498746875118,0.0,1.0,0.0,0.0
162.16420714812625,5.591404654157731,0.0,1.0,0.0,0.0
159.1931950279322,5.550508846286956,0.0,1.0,0.0,0.0
162.16977295285693,5.760677285260785,0.0,1.0,0.0,0.0
161.64727815847067,5.753579958057129,0.0,1.0,0.0,0.0
153.4231750984455,5.670909164150321,0.0,1.0,0.0,0.0
159.92533314292027,5.692047501562647,0.0,1.0,0.0,0.0
159.646203840959,5.633818088864517,0.0,1.0,0.0,0.0
161.99671129885618,5.4641350083178875,0.0,1.0,0.0,0.0
161.05276336818855,5.731156678802531,0.0,1.0,0.0,0.0
157.49795499067156,5.940818287016234,0.0,1.0,0.0,0.0
158.54871982485827,5.910270070415314,0.0,1.0,0.0,0.0
159.95498563449303,5.774520411360797,0.0,1.0,0.0,0.0
159.0821341491229,5.824247717269327,0.0,1.0,0.0,0.0
162.4252506839816,5.420774139180098,0.0,1.0,0.0,0.0
148.69153855841702,5.8032600740548475,0.0,1.0,0.0,0.0
159.01376008222178,5.525887599828287,0.0,1.0,0.0,0.0
161.8317069668237,5.740314420475615,0.0,1.0,0.0,0.0
157.89569421602607,5.9187085275055695,0.0,1.0,0.0,0.0
156.28643487248172,5.580891195741482,0.0,1.0,0.0,0.0
161.51858728390073,5.584576958720678,0.0,1.0,0.0,0.0
159.2522664189724,5.46320391767923,0.0,1.0,0.0,0.0
161.10674083151275,5.444537989698307,0.0,1.0,0.0,0.0
152.16102041155614,5.555851613888191,0.0,1.0,0.0,0.0
160.8622956300643,5.481088893773357,0.0,1.0,0.0,0.0
162.11962141114842,5.659145631364559,0.0,1.0,0.0,0.0
154.72350984213264,5.631923418073268,0.0,1.0,0.0,0.0
159.75061185100316,5.707824138317658,0.0,1.0,0.0,0.0
161.57788613645167,5.50676549235665,0.0,1.0,0.0,0.0
157.87401193912376,5.565425865027626,0.0,1.0,0.0,0.0
157.03195367800836,5.521694911468678,0.0,1.0,0.0,0.0
159.70577717052592,5.554030165145693,0.0,1.0,0.0,0.0
148.9161152002984,5.5792713823452615,0.0,1.0,0.0,0.0
161.43105078380265,5.845905444808083,0.0,1.0,0.0,0.0
162.50446964985653,5.372174098413986,0.0,1.0,0.0,0.0
155.29899486032076,5.55861520218466,0.0,1.0,0.0,0.0
161.1009984180837,5.576372679970225,0.0,1.0,0.0,0.0
162.50228171815445,5.608259872038869,0.0,1.0,0.0,0.0
156.7569509558793,5.610573711648406,0.0,1.0,0.0,0.0
160.1191825815685,5.58470120926947,0.0,1.0,0.0,0.0
153.26836960358227,5.312837862199463,0.0,1.0,0.0,0.0
156.396628526064,5.667681503057505,0.0,1.0,0.0,0.0
153.0045262696555,5.485433304326008,0.0,1.0,0.0,0.0
161.57000446917448,5.629133444067237,0.0,1.0,0.0,0.0
160.96651198532015,5.697140408148464,0.0,1.0,0.0,0.0
160.96970045337662,5.471149759298881,0.0,1.0,0.0,0.0
160.60176346205304,5.304884152307666,0.0,1.0,0.0,0.0
162.38676893255382,5.7130181098326425,0.0,1.0,0.0,0.0
159.87868884942299,5.798819960984974,0.0,1.0,0.0,0.0
154.50021751182587,5.47170233546276,0.0,1.0,0.0,0.0
154.8794220803199,5.630663012671546,0.0,1.0,0.0,0.0
161.52421469795487,5.451959468731421,0.0,1.0,0.0,0.0
161.09184528858893,5.666920663627777,0.0,1.0,0.0,0.0
161.832381921639,5.6686233209004815,0.0,1.0,0.0,0.0
161.46608519106692,5.846754935627087,0.0,1.0,0.0,0.0
148.46062141641815,5.42361335259878,0.0,1.0,0.0,0.0
154.04955121450746,5.407572185129272,0.0,1.0,0.0,0.0
155.78352600381928,5.761314684629112,0.0,1.0,0.0,0.0
161.6937775966503,5.772464705953056,0.0,1.0,0.0,0.0
160.02258151922533,5.464022268755421,0.0,1.0,0.0,0.0
159.52716009313338,5.642110078965725,0.0,1.0,0.0,0.0
161.87224546194716,5.611123876578047,0.0,1.0,0.0,0.0
162.5316154905954,5.577862558893443,0.0,1.0,0.0,0.0
161.32832199992163,5.690563577323625,0.0,1.0,0.0,0.0
158.2955780159975,5.687384297580186,0.0,1.0,0.0,0.0
161.69617059955516,5.537828613003203,0.0,1.0,0.0,0.0
162.61940467505138,5.461886162619429,0.0,1.0,0.0,0.0
154.43300959583786,5.471641790279649,0.0,1.0,0.0,0.0
161.0970316552146,5.622700738111346,0.0,1.0,0.0,0.0
158.45369675420054,5.743727626414831,0.0,1.0,0.0,0.0
161.28450840342887,5.559446569412073,0.0,1.0,0.0,0.0
162.02908853126726,5.763468564609316,0.0,1.0,0.0,0.0
160.19761405905808,5.428108993420423,0.0,1.0,0.0,0.0
154.9640070885333,5.52151572450474,0.0,1.0,0.0,0.0
158.39516013303296,5.855939842844444,0.0,1.0,0.0,0.0
150.88748006260465,5.581887182174149,0.0,1.0,0.0,0.0
149.41577463847065,5.851568758109215,0.0,1.0,0.0,0.0
162.4259047503968,5.522157546024778,0.0,1.0,0.0,0.0
161.3568580816144,5.619466807943682,0.0,1.0,0.0,0.0
161.2946704126232,5.758801065873506,0.0,1.0,0.0,0.0
160.57727967926576,5.82877477354291,0.0,1.0,0.0,0.0
160.760022760421,5.38714320735061,0.0,1.0,0.0,0.0
161.26644639598197,5.566496263111653,0.0,1.0,0.0,0.0
153.75810180009353,5.502911128743929,0.0,1.0,0.0,0.0
152.27293467113608,5.634384762277216,0.0,1.0,0.0,0.0
159.79810078734988,5.875834319338691,0.0,1.0,0.0,0.0
152.74831424300797,5.584488536429806,0.0,1.0,0.0,0.0
161.40858974576466,5.891047744077573,0.0,1.0,0.0,0.0
158.88121557934733,5.543832926385157,0.0,1.0,0.0,0.0
162.09735741921017,5.7273742588875844,0.0,1.0,0.0,0.0
161.05623407750602,5.699316299907167,0.0,1.0,0.0,0.0
150.25564531961768,5.649413069764061,0.0,1.0,0.0,0.0
150.37698275781005,5.759326461825877,0.0,1.0,0.0,0.0
153.93855534508793,5.457514911364162,0.0,1.0,0.0,0.0
155.98009911221683,5.563016663916881,0.0,1.0,0.0,0.0
155.32456169221138,5.857521323998474,0.0,1.0,0.0,0.0
161.5176005143391,5.693899349272488,0.0,1.0,0.0,0.0
156.99627005875652,5.881231500741983,0.0,1.0,0.0,0.0
160.26586513724098,5.896009715729209,0.0,1.0,0.0,0.0
162.29487602847212,5.633456563640516,0.0,1.0,0.0,0.0
161.18965351178423,5.699824709609258,0.0,1.0,0.0,0.0
152.54620503096982,5.62148157535138,0.0,1.0,0.0,0.0
160.16756606454234,5.459765999116195,0.0,1.0,0.0,0.0
161.3001412303255,5.495410302760934,0.0,1.0,0.0,0.0
160.60173385427004,5.54591187361794,0.0,1.0,0.0,0.0
162.58407485108796,5.213877124109514,0.0,1.0,0.0,0.0
162.29795179753492,5.452843107646421,0.0,1.0,0.0,0.0
161.85252500345035,5.895740336084261,0.0,1.0,0.0,0.0
156.8153778299685,5.561631182265879,0.0,1.0,0.0,0.0
160.59656226211936,5.789289551649891,0.0,1.0,0.0,0.0
159.43226300932136,5.827971691484397,0.0,1.0,0.0,0.0
158.00723553868258,5.840198565228434,0.0,1.0,0.0,0.0
157.74776101988752,5.694247067525079,0.0,1.0,0.0,0.0
161.53643252010093,5.371044533385606,0.0,1.0,0.0,0.0
155.98142690674578,5.427087590014645,0.0,1.0,0.0,0.0
162.2026483530292,5.6379596997066574,0.0,1.0,0.0,0.0
160.98522919149852,5.534255454892103,0.0,1.0,0.0,0.0
161.4414762519381,5.473381844592424,0.0,1.0,0.0,0.0
162.23624653498524,5.531865946696273,0.0,1.0,0.0,0.0
160.55945764167365,5.208292888867957,0.0,1.0,0.0,0.0
159.71883346574342,5.817101912409958,0.0,1.0,0.0,0.0
160.1175365856484,5.490990138312384,0.0,1.0,0.0,0.0
159.5861027040972,5.75492345808278,0.0,1.0,0.0,0.0
159.88611822031478,5.451510332174666,0.0,1.0,0.0,0.0
160.83221927106945,5.848060790800349,0.0,1.0,0.0,0.0
157.1600699481707,5.361604076649379,0.0,1.0,0.0,0.0
152.48233668212498,5.576726689357164,0.0,1.0,0.0,0.0
151.356012514152,5.567759873939025,0.0,1.0,0.0,0.0
153.68185557640203,5.891605572687627,0.0,1.0,0.0,0.0
162.05290461159603,5.745527242927838,0.0,1.0,0.0,0.0
152.64703254131314,5.636542782067648,0.0,1.0,0.0,0.0
160.52356169172168,5.561101073267998,0.0,1.0,0.0,0.0
160.4220989597986,5.8512595060122194,0.0,1.0,0.0,0.0
162.10096215827565,5.796790878737061,0.0,1.0,0.0,0.0
153.0069290455039,5.799505854864058,0.0,1.0,0.0,0.0
162.1361369378343,5.575867571201176,0.0,1.0,0.0,0.0
161.7974456659647,5.588966485347049,0.0,1.0,0.0,0.0
